epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.5732,1.64076,0.71,0.98,0.89446,0.000300245,0.000300245,0.000300245
2,71.151,0.99149,0.85714,0.99429,0.47278,0.000543524,0.000543524,0.000543524
3,105.55,0.70767,0.88714,0.99714,0.32684,0.000726809,0.000726809,0.000726809
4,140.551,0.55632,0.93143,1,0.21898,0.000639027,0.000639027,0.000639027
5,175.084,0.51711,0.96,1,0.13183,0.000549036,0.000549036,0.000549036
6,208.5,0.44174,0.98714,1,0.07459,0.000459045,0.000459045,0.000459045
7,242.896,0.332,0.99143,1,0.05551,0.000369054,0.000369054,0.000369054
8,276.576,0.30336,0.98571,1,0.06115,0.000279063,0.000279063,0.000279063
9,308.998,0.25215,0.98571,1,0.05052,0.000189072,0.000189072,0.000189072
10,341.874,0.19957,0.99286,1,0.02852,9.9081e-05,9.9081e-05,9.9081e-05
