epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7478.66,0.80659,1.33366,1.22554,0.35675,0.96697,0.37332,0.30313,0.71309,3.36006,0.97181,0.000664683,0.000664683,0.000664683
2,15069.6,0.79377,0.55307,1.20242,0.3564,0.9905,0.37075,0.31332,0.62793,2.59353,0.90667,0.00119955,0.00119955,0.00119955
3,22722.6,0.74403,0.41916,1.16762,0.3609,0.98307,0.36857,0.31983,0.54334,2.49511,0.83602,0.00160241,0.00160241,0.00160241
4,30246,0.68867,0.36836,1.12295,0.3596,0.99917,0.36607,0.32266,0.52332,2.17948,0.82223,0.001406,0.001406,0.001406
5,35203.7,0.63469,0.32463,1.0803,0.35927,0.99876,0.3701,0.32558,0.54303,2.16524,0.82292,0.001208,0.001208,0.001208
6,36953.2,0.59521,0.3002,1.05674,0.35958,0.99917,0.36935,0.32841,0.52476,2.57406,0.79188,0.00101,0.00101,0.00101
7,38699.8,0.55741,0.27423,1.03373,0.35952,0.99917,0.36427,0.32599,0.50044,2.73444,0.79579,0.000812,0.000812,0.000812
8,40447.1,0.52252,0.25581,1.01121,0.35943,0.99876,0.36349,0.34124,0.388,2.69455,0.73317,0.000614,0.000614,0.000614
9,42189.2,0.50402,0.24186,1.00461,0.35941,0.99917,0.36392,0.33441,0.42651,2.78624,0.74382,0.000416,0.000416,0.000416
10,43950.1,0.47226,0.22061,0.98375,0.35924,0.99959,0.36176,0.33793,0.37005,2.68012,0.71785,0.000218,0.000218,0.000218
