epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.159,2.36876,3.99893,1.76545,0.0036,0.55329,0.02012,0.00761,2.36176,4.11893,1.76604,0.000655367,0.000655367,0.000655367
2,507.852,2.35255,3.06304,1.79992,0.33053,0.26984,0.22239,0.08902,2.42153,3.09171,1.74773,0.00119115,0.00119115,0.00119115
3,750.9,2.22982,2.49961,1.69379,0.4736,0.38095,0.36087,0.14124,2.24721,2.39898,1.67205,0.00159494,0.00159494,0.00159494
4,998.554,2.17828,2.159,1.68099,0.42401,0.4195,0.3775,0.15138,2.31315,2.34933,1.76526,0.001406,0.001406,0.001406
5,1247.42,2.16102,1.99832,1.67553,0.53185,0.47166,0.44022,0.15989,2.28942,2.07012,1.64653,0.001208,0.001208,0.001208
6,1637.3,2.09051,1.83658,1.57551,0.55355,0.47846,0.47131,0.18713,2.19702,2.03609,1.67073,0.00101,0.00101,0.00101
7,462.614,2.03917,1.74216,1.58288,0.57599,0.4867,0.53792,0.22266,2.18173,1.81529,1.59453,0.000812,0.000812,0.000812
8,718.874,1.97651,1.61436,1.50819,0.71884,0.51474,0.59894,0.26049,2.13159,1.7038,1.58305,0.000614,0.000614,0.000614
9,960.734,1.90645,1.55064,1.4964,0.65783,0.57143,0.63006,0.27834,2.0753,1.77055,1.56614,0.000416,0.000416,0.000416
10,1205.81,1.85817,1.42559,1.44431,0.6733,0.56463,0.62635,0.29683,1.99948,1.6271,1.51522,0.000218,0.000218,0.000218
